Jul.Day,YYYY/MM/DD,Wdy,IDR/EUR
2457570,6/30/2016,Thu,14647
2457574,7/4/2016,Mon,14605
2457575,7/5/2016,Tue,14491
2457576,7/6/2016,Wed,14549
2457577,7/7/2016,Thu,14511
2457578,7/8/2016,Fri,14428
2457581,7/11/2016,Mon,14496
2457582,7/12/2016,Tue,14559
2457583,7/13/2016,Wed,14550
2457584,7/14/2016,Thu,14490
2457585,7/15/2016,Fri,14493
2457588,7/18/2016,Mon,14526
2457589,7/19/2016,Tue,14350
2457590,7/20/2016,Wed,14496
2457591,7/21/2016,Thu,14383
2457592,7/22/2016,Fri,14311
2457595,7/25/2016,Mon,14376
2457596,7/26/2016,Tue,14507
2457597,7/27/2016,Wed,14382
2457598,7/28/2016,Thu,14466
2457599,7/29/2016,Fri,14566
2457603,8/2/2016,Tue,14691
2457604,8/3/2016,Wed,14610
2457605,8/4/2016,Thu,14646
2457606,8/5/2016,Fri,14603
2457609,8/8/2016,Mon,14598
2457610,8/9/2016,Tue,14572
2457611,8/10/2016,Wed,14589
2457612,8/11/2016,Thu,14673
2457613,8/12/2016,Fri,14608
2457616,8/15/2016,Mon,14615
2457617,8/16/2016,Tue,14800
2457618,8/17/2016,Wed,14807
2457619,8/18/2016,Thu,14926
2457620,8/19/2016,Fri,14884
2457623,8/22/2016,Mon,14940
2457624,8/23/2016,Tue,14887
2457625,8/24/2016,Wed,14863
2457626,8/25/2016,Thu,14883
2457627,8/26/2016,Fri,14847
2457630,8/29/2016,Mon,14854
2457631,8/30/2016,Tue,14878
2457632,8/31/2016,Wed,14776
2457633,9/1/2016,Thu,14820
2457634,9/2/2016,Fri,14799
2457638,9/6/2016,Tue,14725
2457639,9/7/2016,Wed,14636
2457640,9/8/2016,Thu,14679
2457641,9/9/2016,Fri,14763
2457644,9/12/2016,Mon,14685
2457645,9/13/2016,Tue,14801
2457646,9/14/2016,Wed,14865
2457647,9/15/2016,Thu,14781
2457648,9/16/2016,Fri,14744
2457651,9/19/2016,Mon,14735
2457652,9/20/2016,Tue,14632
2457653,9/21/2016,Wed,14720
2457654,9/22/2016,Thu,14641
2457655,9/23/2016,Fri,14629
2457658,9/26/2016,Mon,14723
2457659,9/27/2016,Tue,14558
2457660,9/28/2016,Wed,14540
